encounter,hemisphere,terrain,pca_1,pca_2,pca_3,pca_4,pca_5,nmf_1,nmf_2,nmf_3,nmf_4
E6,leading,chaos,-11.289027528515664,-2.554369859616763,-0.08179981859030509,2.9282711647977497,-1.8295270558085017,0.03240689753845963,0.0,0.08786071566752192,0.5352358216246931
E6,leading,chaos,-11.154462494247314,-3.2338172699401144,-0.16039432303249573,2.9048099225351907,-1.6444668099754691,0.02852739799249637,0.0,0.0912038120836568,0.5230144917701298
E6,leading,chaos,-11.001397924061218,-1.9880011645647166,-0.09790652298037461,2.993558379507219,-1.8780913104086259,0.038663485810557015,0.0,0.0931143761132658,0.5303528620801201
E6,leading,chaos,-11.109993084014603,-2.6776275083401457,-0.17668396025161057,2.96349850063727,-1.7362788800274291,0.03321926352604948,0.0,0.09299753738525571,0.5246903942196075
E6,leading,chaos,-11.09726097291839,-1.7117031896378585,-0.20850200895662865,3.027598133796592,-1.9923548683777013,0.040998437698711365,0.0,0.09126208702053071,0.5327898206883319
E6,leading,chaos,-11.046023922501421,-2.0402290647366947,-0.15804953022007107,3.0275941523911003,-1.9131794881064583,0.03808577800561691,0.0,0.09261275021311646,0.5306433982465288
E6,leading,chaos,-11.291498717272908,-2.426016121964412,-0.10101605343120536,3.0098965279708843,-1.9009697315583856,0.03293715088315635,0.0,0.08923568162466804,0.5365140597861682
E6,leading,chaos,-11.423591489352384,-2.1869927054363836,0.030122296236728834,3.144680555962867,-1.8693995853218368,0.030873458371074074,0.0,0.0932818892445193,0.545909550342765
E6,leading,chaos,-11.237812240576845,-1.6056307309421862,-0.27637115715261684,3.0171457322004716,-2.0154634270134357,0.04131342007607377,0.0,0.08992369442240723,0.5348158195073153
E6,leading,chaos,-11.27717466578894,-1.8844009112532567,-0.19561391569973918,3.0363315165630573,-1.9697002478990826,0.037836469423270194,0.0,0.09044516617836662,0.536518003695372
E6,leading,chaos,-11.285569643004903,-2.1111638728744175,-0.12357924306586349,3.041276428710346,-1.9300742632150645,0.03529555529892314,0.0,0.09080080786896118,0.5372368282851541
E6,leading,chaos,-11.135029901736416,-1.8356850263285616,0.009397317742219179,3.1253330776357493,-1.8584291750903001,0.035975944662306976,0.0,0.09698521565197896,0.5384532487003025
E6,leading,chaos,-11.613301463504786,-1.608690717083837,0.11116305565187,3.1581775941891097,-2.004463912087704,0.03259573698965754,0.0,0.09085935215883953,0.5595765891456562
E6,leading,chaos,-11.091451879621976,-1.2004942667119947,-0.4173530438250587,3.01754222589621,-1.9869212194388672,0.04629897608607553,0.0,0.09327766809742756,0.528625973427922
E6,leading,chaos,-11.35091339537707,-1.509243762386177,-0.3136630779117388,3.0582544768194326,-1.9882675855827832,0.040826860961308116,0.0,0.09153199950997137,0.5367832935758226
E6,leading,chaos,-11.32590325325672,-1.7616897072919557,-0.24174317384581037,3.05855349614938,-1.9655484857092425,0.03844686277536716,0.0,0.09122220098110695,0.5370800096902401
E6,leading,chaos,-11.147522648008428,-1.6608133581423161,-0.05814136694987003,3.0962566110561363,-1.9416261720351518,0.03808507018161989,0.0,0.09388930100841789,0.5399967085393825
E6,leading,chaos,-11.183532251741537,-1.5500073478138794,0.060547145233493846,3.1245861808072455,-1.9561565779946903,0.036964569866366086,0.0,0.09413259007824344,0.5465413301133684
E6,leading,chaos,-11.045930199331234,-0.971054902462716,-0.47947694182491274,2.9793661232872224,-1.9273310277869962,0.04884962381426966,0.0,0.09495862229976623,0.5259376771547992
E6,leading,chaos,-10.967091834355465,-1.025809172289519,-0.35531317552958586,3.013189564198825,-1.9308584735585153,0.047528487343716265,0.0,0.09618327452918049,0.5279737255266516
E6,leading,chaos,-10.985143919722189,-1.233718778713782,-0.281640928548422,3.023236802708975,-1.929689848424478,0.045035696628156714,0.0,0.09536642718293728,0.5301501712922396
E6,leading,chaos,-11.096654541728945,-1.4947211316501767,-0.14223994189780167,3.061967433169626,-1.9346472768284462,0.04061955835114188,0.0,0.09386793382937321,0.5372392844338872
E6,leading,chaos,-11.132341629827128,-1.5840061248735386,-0.04971752468596137,3.0781085998811077,-1.914318194973497,0.038565078677558526,0.0,0.09400807060422364,0.5406374931928037
E6,leading,chaos,-11.039318548113537,-1.7337463669153432,-0.08783618999681662,3.09934601966388,-1.8540419697758013,0.03841559506518403,0.0,0.0967862770276719,0.5340616910990212
E6,leading,chaos,-11.05171753480718,-2.9944082132913636,-0.6420962971905789,2.878995896733317,-1.8003363156876497,0.03766177926425287,0.0,0.08691686980973677,0.5060635900359074
E6,leading,chaos,-10.923853596606598,-0.6529023834479486,-0.498833287721122,2.874210223265941,-1.7851191213697224,0.05247820593316505,0.0,0.09752838373761469,0.5219281561040164
