condition,noise,rad_so_hi,class_a,class_b,weight,overlap_coefficient
baseline,moderate,0.09,ocean_organic,radiation_mimic,w_simple_organic,0.5662151969196411
main,harsh,0.13,ocean_organic,radiation_mimic,w_simple_organic,0.8248150258617942
