source,band,wave,mean,std
NIMS_E6,0,0.7,0.8921216704823949,0.0266065471742457
NIMS_E6,1,0.725,0.9146565775613528,0.024231521439444768
NIMS_E6,2,0.75,0.940241673329213,0.02797546273928955
NIMS_E6,3,0.775,0.9515648943594739,0.04295347987983242
NIMS_E6,4,0.8,0.9714326124001427,0.055070246154780775
NIMS_E6,5,0.8250000000000001,0.964946680226346,0.05366948210750221
NIMS_E6,6,0.8500000000000001,0.9737022516901759,0.04260806112003942
NIMS_E6,7,0.8750000000000001,0.9462170334171077,0.03961273986732626
NIMS_E6,8,0.9000000000000001,0.9283999508100641,0.032219069756219916
NIMS_E6,9,0.9250000000000002,0.8610436567623722,0.06369912907581927
NIMS_E6,10,0.9500000000000002,0.8465057417618171,0.04961062090681001
NIMS_E6,11,0.9750000000000002,0.7765257100183994,0.03637551008010302
NIMS_E6,12,1.0000000000000002,0.7718595819915655,0.03267266441019513
NIMS_E6,13,1.0250000000000004,0.7734670168737612,0.025858466353197024
NIMS_E6,14,1.0500000000000003,0.7750744517559569,0.025173814805368563
NIMS_E6,15,1.0750000000000002,0.788021461783088,0.02742852482705959
NIMS_E6,16,1.1000000000000003,0.8013919414214409,0.03161664607871197
NIMS_E6,17,1.1250000000000004,0.7939694478292062,0.0327785335639472
NIMS_E6,18,1.1500000000000004,0.7839244170727536,0.04196568488456574
NIMS_E6,19,1.1750000000000003,0.7530178994632232,0.044322081108310256
NIMS_E6,20,1.2000000000000004,0.7171541968589019,0.04544908738197702
NIMS_E6,21,1.2250000000000005,0.6887356039204482,0.04324509060026761
NIMS_E6,22,1.2500000000000004,0.6630987003077036,0.0410007193398242
NIMS_E6,23,1.2750000000000004,0.6343622615982816,0.033585967024923453
NIMS_E6,24,1.3000000000000005,0.6426949544037126,0.031134164445713187
NIMS_E6,25,1.3250000000000006,0.6540320554973285,0.030232120430734703
NIMS_E6,26,1.3500000000000005,0.6514523737323588,0.03168546145998866
NIMS_E6,27,1.3750000000000004,0.6463003956096418,0.03505677003397664
NIMS_E6,28,1.4000000000000006,0.5759775390807392,0.032712803115070854
NIMS_E6,29,1.4250000000000007,0.4855233640912859,0.03548790182204023
NIMS_E6,30,1.4500000000000006,0.3790750312305893,0.03681000715082195
NIMS_E6,31,1.4750000000000005,0.2651000358422473,0.03793324714224545
NIMS_E6,32,1.5000000000000007,0.22349240730645042,0.03985918805624714
NIMS_E6,33,1.5250000000000008,0.23012969000568342,0.041051531356636466
NIMS_E6,34,1.5500000000000007,0.23930312484080887,0.039564672199757144
NIMS_E6,35,1.5750000000000006,0.2696953176528608,0.038263782044279916
NIMS_E6,36,1.6000000000000008,0.305045288809748,0.0376583709938122
NIMS_E6,37,1.6250000000000009,0.32222884647293487,0.038590047041484034
NIMS_E6,38,1.6500000000000008,0.3319200415087769,0.040288781343954395
NIMS_E6,39,1.6750000000000007,0.3633985443520989,0.03801265632732131
NIMS_E6,40,1.7000000000000008,0.4080052967717227,0.03558898628815959
NIMS_E6,41,1.7250000000000008,0.43210933524458517,0.03500521685311638
NIMS_E6,42,1.7500000000000009,0.43874809887391025,0.03423182621455748
NIMS_E6,43,1.775000000000001,0.4412042413027539,0.03303222282194601
NIMS_E6,44,1.800000000000001,0.43867059001874203,0.03135993057735783
NIMS_E6,45,1.8250000000000008,0.43896219035071027,0.027318830383856473
NIMS_E6,46,1.850000000000001,0.41199284353413695,0.025803092245242024
NIMS_E6,47,1.875000000000001,0.361829027174002,0.02494293660747478
NIMS_E6,48,1.900000000000001,0.289792993450335,0.02312508159305242
NIMS_E6,49,1.925000000000001,0.19517345074155923,0.020166279747145945
NIMS_E6,50,1.950000000000001,0.13107326912317657,0.019025441526529484
NIMS_E6,51,1.9750000000000012,0.11199669941042317,0.019688238670534028
NIMS_E6,52,2.000000000000001,0.10087423338185594,0.021216140959565182
NIMS_E6,53,2.0250000000000012,0.10696887785956467,0.023117930882517884
NIMS_E6,54,2.050000000000001,0.11761335437455611,0.024892256725110275
NIMS_E6,55,2.075000000000001,0.14366340252455853,0.026050669829985447
NIMS_E6,56,2.1000000000000014,0.16828057783736558,0.02668156259409052
NIMS_E6,57,2.125000000000001,0.1936874635657617,0.024401614207765064
NIMS_E6,58,2.1500000000000012,0.2387455214625006,0.023188355994110895
NIMS_E6,59,2.1750000000000016,0.2787760717424676,0.022545884219586657
NIMS_E6,60,2.200000000000001,0.30253113126306075,0.02338520044129589
NIMS_E6,61,2.2250000000000014,0.320937738158786,0.024847345061685195
NIMS_E6,62,2.2500000000000013,0.30855460426811415,0.024399346037220656
NIMS_E6,63,2.2750000000000012,0.2949230046013476,0.026558717946870234
NIMS_E6,64,2.3000000000000016,0.2602458389947051,0.027261400184983454
NIMS_E6,65,2.325000000000001,0.22556867338806133,0.028541435585845067
NIMS_E6,66,2.3500000000000014,0.20339486632444786,0.02616409573109742
NIMS_E6,67,2.3750000000000018,0.18168798966285615,0.02393100152070776
NIMS_E6,68,2.4000000000000012,0.17087912430873917,0.022850961431905608
NIMS_E6,69,2.4250000000000016,0.16161289982463029,0.02191422958150775
NIMS_E6,70,2.4500000000000015,0.15234667534052102,0.020987656593421052
NIMS_E6,71,2.4750000000000014,0.143080450856412,0.02007264934580042
NIMS_E6,72,2.5000000000000018,0.13381422637230297,0.019170863975817683
NIMS_E6,73,2.5250000000000012,0.12454800188819379,0.01828425690978161
NIMS_E6,74,2.5500000000000016,0.11528177740408488,0.017415146489485528
NIMS_E6,75,2.575000000000002,0.10601555291997573,0.016566286702255677
NIMS_E6,76,2.6000000000000014,0.09674932843586666,0.01574095404656837
NIMS_E6,77,2.6250000000000018,0.08748310395175762,0.014943047374440434
NIMS_E6,78,2.6500000000000017,0.07821687946764845,0.014177198126467576
NIMS_E6,79,2.6750000000000016,0.06895065498353957,0.013448883966456522
NIMS_E6,80,2.700000000000002,0.048410250220721776,0.010595124718832316
NIMS_E6,81,2.7250000000000014,0.023397963894841504,0.007042826272573436
NIMS_E6,82,2.7500000000000018,0.012220670126501467,0.0047161280974540925
NIMS_E6,83,2.775000000000002,0.009522887925687187,0.004512623516171677
NIMS_E6,84,2.8000000000000016,0.0076890040847450184,0.0047235898770059395
NIMS_E6,85,2.825000000000002,0.006639882876052966,0.003903202666497653
NIMS_E6,86,2.8500000000000023,0.005590761667360953,0.0031172840890338234
NIMS_E6,87,2.8750000000000018,0.0045416404586688984,0.002399939256339601
