stage,wave_min_um,wave_max_um,n_bands,synth_internal_ood,mean_ood_dist,mean_ood_ratio,ood_dist_E6,ood_ratio_E6,ood_dist_E15,ood_ratio_E15,ood_dist_G2,ood_ratio_G2,ood_dist_E11,ood_ratio_E11
00_baseline,0.7,2.0,53,0.059237709971922584,1.2221658552009664,20.631551002709188,1.0260591769787086,17.321047017921387,2.200959541638507,37.15470273119964,0.6947495902436273,11.728164016548915,0.9898908230112073,16.710484027318248
00_baseline,2.0,2.5,21,0.02802281544887401,1.377483062698419,49.15576795114639,1.397805653338791,49.88098380078982,1.0125429566894306,36.132804799858576,1.3913395049002626,49.65023795658371,1.4686177151904025,52.40792687165509
00_baseline,2.5,3.5,41,0.042757921736052494,2.5631310228842894,59.945171768672395,2.9816730672945355,69.73381484644617,1.8102183970291357,42.33644389611101,2.9528354236269667,69.05937507429948,2.7333895251273117,63.92708883452331
00_baseline,3.5,4.1,25,0.028123327514093598,3.193902802620889,113.56773793757418,3.5964645261358665,127.88189436159915,2.4362242474842746,86.62645484027242,3.5923587180386307,127.73590139724651,3.3657446666156043,119.67803401823188
00_baseline,4.1,5.2,45,0.04630450691051833,4.041022739688566,87.27061191315728,4.7057870050667,101.6269736449948,2.8217371206700523,60.93871305409292,4.565762407858884,98.60297871390931,4.318808232134213,93.26971448395787
01_sulfuric_acid_hydrate_hayesli_sao,0.7,2.0,53,0.05784698983536449,1.2177339613857203,21.05094740107491,1.0244577454086736,17.709784564668766,2.1808798953828368,37.700835668180794,0.6980423613410893,12.067047071260005,0.9891930350867729,17.100164084629178
01_sulfuric_acid_hydrate_hayesli_sao,2.0,2.5,21,0.028577122513590205,1.3773626979235551,48.19808744111468,1.3978973125629495,48.91665572632466,1.0125303890501798,35.43150130448428,1.3912286037681076,48.68329743217478,1.4684631677401496,51.385968466763416
01_sulfuric_acid_hydrate_hayesli_sao,2.5,3.5,41,0.04264867123862399,2.557839502469908,59.974657315438,2.9785184644461196,69.83848049901725,1.8046994579455304,42.31548986678975,2.9459152348627686,69.0740198986747,2.728111364876613,63.96708787585535
01_sulfuric_acid_hydrate_hayesli_sao,3.5,4.1,25,0.027896166559135894,3.2152867570758557,115.25908532990802,3.6178763253373822,129.69080134997043,2.457551894903013,88.09639853551043,3.613757279861057,129.54314502880754,3.387141690329969,121.41960658752541
01_sulfuric_acid_hydrate_hayesli_sao,4.1,5.2,45,0.04616686160154319,4.040975572165016,87.5297853146716,4.705554506909973,101.92493580347139,2.8224292252826486,61.135391625860784,4.565535554234188,98.89204717328093,4.318583455944349,93.54292695211208
02_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite,0.7,2.0,53,0.05373691469140033,0.8785408530420334,16.348925905746185,0.6089151364679927,11.331412096013525,1.848516001816732,34.39936918658238,0.38342206871968404,7.1351707441043954,0.6503686718758104,12.102828446849076
02_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite,2.0,2.5,21,0.027604533320120944,1.0428927894534958,37.77976390977664,1.0685831762235412,38.71042212962278,0.6900097096329857,24.996245241131913,1.0550443803621796,38.219966623134006,1.1308403839726173,40.96574754200247
02_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite,2.5,3.5,41,0.04619210305392164,2.216528423626222,47.98500672406677,2.6425057131112863,57.2068704648439,1.4519081656151678,31.43195564160284,2.6143665833556127,56.59769427917317,2.389372382116767,51.726857458745975
02_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite,3.5,4.1,25,0.03150620719986932,2.5877806513719537,82.13557896131364,2.98941592229323,94.88339261040082,1.8324894458976242,58.16280506599411,2.9856057920481343,94.76245992878692,2.75906034977102,87.57195827146423
02_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite,4.1,5.2,45,0.04941253679739549,3.0854651984053545,62.44296156284423,3.744588982568822,75.78216277663435,1.8862724862901734,38.17396495651349,3.6058612945014508,72.97462253985898,3.3584345842533274,67.96725555817028
03_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite_tholin_pah_roush_dalton_tholin_100K,0.7,2.0,53,0.052671133493056174,0.8549843187856182,16.23250243258637,0.6415140144897462,12.17961262205809,1.8755109543705963,35.60794678948584,0.3625587556711654,6.883443069162728,0.6122090983953243,11.623237363076623
03_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite_tholin_pah_roush_dalton_tholin_100K,2.0,2.5,21,0.025264248400956774,1.0428543175524134,41.27786664079242,1.0684763536023638,42.292028417115766,0.6900551535930364,27.313503070742467,1.0550072632903278,41.758899959655004,1.1307829461444294,44.75822448545041
03_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite_tholin_pah_roush_dalton_tholin_100K,2.5,3.5,41,0.04643034085155028,2.2157144006685527,47.72125968300557,2.6422807396797596,56.908492040136366,1.4509436510480012,31.24990239544306,2.613067780103521,56.27931382582039,2.3885847316745212,51.44447868403467
03_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite_tholin_pah_roush_dalton_tholin_100K,3.5,4.1,25,0.031514914983082225,2.5877804196011405,82.11287699419246,2.9894157057725543,94.85716882054601,1.8324890910220115,58.14672303126953,2.98560561004397,94.73627064868893,2.759060147774399,87.54775514094698
03_sulfuric_acid_hydrate_hayesli_sao_ocean_salt_usgs_epsomite_tholin_pah_roush_dalton_tholin_100K,4.1,5.2,45,0.049428607816996185,3.0854647167913933,62.42264936516778,3.744588656106646,75.75751666348856,1.886271368411214,38.16153061064129,3.6058609188012682,72.95088826294017,3.3584342563945238,67.94515032435457
