,ice,ocean_salt,simple_organic,tholin_pah,sulfuric_acid_hydrate,sulfur_so2,h2o2,rad_salt_proxy
ice,0.0,69.65922354748298,92.2136107552105,100.00691050666137,62.044619673299486,87.99525638827339,108.23517849375682,65.41985475401584
ocean_salt,69.65922354748298,0.0,82.01659997652266,57.0020223625009,24.78843203750434,127.88682269734957,64.86798462364281,11.996790909767865
simple_organic,92.2136107552105,82.01659997652266,1.2074182697257333e-06,71.06494875679337,80.26320834656714,90.5006800208862,71.53056327526683,80.95635640971543
tholin_pah,100.00691050666137,57.0020223625009,71.06494875679337,8.537736462515939e-07,61.55223614890792,120.02828479016509,68.77688352957348,58.415538363515324
sulfuric_acid_hydrate,62.044619673299486,24.78843203750434,80.26320834656714,61.55223614890792,8.537736462515939e-07,119.69659225868402,66.14570686196853,12.79164112773655
sulfur_so2,87.99525638827339,127.88682269734957,90.5006800208862,120.02828479016509,119.69659225868402,0.0,121.18244386816198,124.74306438558318
h2o2,108.23517849375682,64.86798462364281,71.53056327526683,68.77688352957348,66.14570686196853,121.18244386816198,0.0,64.863975334163
rad_salt_proxy,65.41985475401584,11.996790909767865,80.95635640971543,58.415538363515324,12.79164112773655,124.74306438558318,64.863975334163,1.2074182697257333e-06
