stage,wave_min_um,wave_max_um,n_bands,synth_internal_ood,mean_ood_dist,mean_ood_ratio,ood_dist_E6,ood_ratio_E6,ood_dist_E15,ood_ratio_E15,ood_dist_G2,ood_ratio_G2,ood_dist_E11,ood_ratio_E11
00_baseline,0.7,5.2,181,0.09054353321415934,5.496866866414399,60.7096565660101,6.091755254417072,67.27984838772103,4.411435856937941,48.72171044818873,6.0138681804351375,66.4196315355965,5.743286027733472,63.431211047594914
00_baseline,0.7,2.0,53,0.059237709971922584,1.2221658552009664,20.631551002709188,1.0260591769787086,17.321047017921387,2.200959541638507,37.15470273119964,0.6947495902436273,11.728164016548915,0.9898908230112073,16.710484027318248
01_ocean_salt_usgs_epsomite,0.7,5.2,181,0.10728905628750997,5.059490321994438,47.15756154363598,5.681723949776541,52.95716164744396,4.137559628878199,38.56460046797216,5.531301983825594,51.55513641063113,5.264502300655085,49.0683992734453
01_ocean_salt_usgs_epsomite,0.7,2.0,53,0.05563328897795648,0.8583131791605331,15.428049994897329,0.6504244362099185,11.691281181962013,1.904699023299837,34.23667778868612,0.3246758852712493,5.836000089153369,0.6094745524811838,10.955213195600605
02_ocean_salt_usgs_epsomite_ocean_salt_usgs_mirabilite,0.7,5.2,181,0.09950306756034502,5.651037479936106,56.79259505960819,6.2542308401213,62.85465293292272,4.726105511639579,47.4970830550152,6.109407108857458,61.39918293225624,5.8576297560256165,58.868835311075614
02_ocean_salt_usgs_epsomite_ocean_salt_usgs_mirabilite,0.7,2.0,53,0.05539549648112457,1.087001427339268,19.62255917477142,0.9045930599029504,16.32972174699182,2.047087966424065,36.95404968827275,0.6091262158406621,10.995951720592732,0.8582342628643361,15.492852341596361
03_ocean_salt_usgs_epsomite_ocean_salt_usgs_mirabilite_ocean_salt_usgs_gypsum,0.7,5.2,181,0.09982112344058677,5.525946807231738,55.35849088256629,6.142563263441689,61.5357049709225,4.648094361098299,46.564235647984816,5.97069098033088,59.81390225557534,5.720445932294946,57.306967481614954
03_ocean_salt_usgs_epsomite_ocean_salt_usgs_mirabilite_ocean_salt_usgs_gypsum,0.7,2.0,53,0.05409822028164913,1.1623356837985994,21.485654357232626,0.9338627995511828,17.26235682850375,2.0775142028089815,38.40263420109347,0.6799190812842285,12.5682335791485,0.9464508546353073,17.49504571893118
04_ocean_salt_usgs_epsomite_ocean_salt_usgs_mirabilite_ocean_salt_usgs_gypsum_ocean_salt_usgs_polyhalite,0.7,5.2,181,0.0905601586235189,5.532018168129455,61.08666538494885,6.104281132240872,67.40581241925683,4.746662877245986,52.414471186656954,5.987428741949213,66.11548352874424,5.704467709716569,62.990919333970474
04_ocean_salt_usgs_epsomite_ocean_salt_usgs_mirabilite_ocean_salt_usgs_gypsum_ocean_salt_usgs_polyhalite,0.7,2.0,53,0.05774592387551017,1.2511938178813282,21.667222762102732,1.0294077432986286,17.82650023387532,2.2193054248361315,38.432243134395286,0.7408865250748689,12.830109253113307,1.0221783707176781,17.701307458860708
