a,b,pearson_r,abs_pearson_r,spectral_angle_deg,centered_spectral_angle_deg,flag_high_corr,flag_low_angle,flag_low_centered_angle
ocean_salt,rad_salt_proxy,0.9781592441650687,0.9781592441650687,4.0809683914527035,11.996790909767865,True,True,False
sulfuric_acid_hydrate,rad_salt_proxy,0.9751816656034639,0.9751816656034639,8.51610420930474,12.79164112773655,True,False,False
sulfur_so2,h2o2,-0.51776489092472,0.51776489092472,1.8042447300509747,121.18244386816198,False,True,False
sulfuric_acid_hydrate,h2o2,0.4044121253537535,0.4044121253537535,4.773604101818292,66.14570686196853,False,True,False
simple_organic,h2o2,0.3167987472027905,0.3167987472027905,0.8766037546817907,71.53056327526683,False,True,False
simple_organic,sulfuric_acid_hydrate,0.1691222999639885,0.1691222999639885,4.899095881146645,80.26320834656714,False,True,False
simple_organic,sulfur_so2,-0.008738403649269382,0.008738403649269382,1.704638789019585,90.5006800208862,False,True,False
ocean_salt,sulfuric_acid_hydrate,0.907862147000327,0.907862147000327,5.853782124576684,24.78843203750434,False,False,False
ocean_salt,sulfur_so2,-0.6141037045223161,0.6141037045223161,10.939673753867828,127.88682269734957,False,False,False
sulfur_so2,rad_salt_proxy,-0.5698972986278632,0.5698972986278632,14.171565563480442,124.74306438558318,False,False,False
ocean_salt,tholin_pah,0.5446094322177473,0.5446094322177473,8.701958041502722,57.0020223625009,False,False,False
tholin_pah,rad_salt_proxy,0.523754902103996,0.523754902103996,11.326430701770422,58.415538363515324,False,False,False
tholin_pah,sulfur_so2,-0.5004274635104095,0.5004274635104095,8.709113860996165,120.02828479016509,False,False,False
sulfuric_acid_hydrate,sulfur_so2,-0.4954070045623384,0.4954070045623384,5.829230063342617,119.69659225868402,False,False,False
tholin_pah,sulfuric_acid_hydrate,0.47635735084460246,0.47635735084460246,7.034306519323531,61.55223614890792,False,False,False
ice,sulfuric_acid_hydrate,0.46878381604274133,0.46878381604274133,13.11125517722657,62.044619673299486,False,False,False
h2o2,rad_salt_proxy,0.42476871436419267,0.42476871436419267,13.067492822720745,64.863975334163,False,False,False
ocean_salt,h2o2,0.4247053645500074,0.4247053645500074,9.764467066933694,64.86798462364281,False,False,False
ice,rad_salt_proxy,0.4159656889291501,0.4159656889291501,15.068216151581474,65.41985475401584,False,False,False
tholin_pah,h2o2,0.362000694620848,0.362000694620848,7.707248949714643,68.77688352957348,False,False,False
ice,ocean_salt,0.34760304359902866,0.34760304359902866,14.55589743921759,69.65922354748298,False,False,False
simple_organic,tholin_pah,0.32449613435053615,0.32449613435053615,7.650787217330905,71.06494875679337,False,False,False
ice,h2o2,-0.3129181239598356,0.3129181239598356,14.884025879208712,108.23517849375682,False,False,False
ice,tholin_pah,-0.17376695514429746,0.17376695514429746,17.815104139734423,100.00691050666137,False,False,False
simple_organic,rad_salt_proxy,0.1571867658410776,0.1571867658410776,13.183463175419922,80.95635640971543,False,False,False
ocean_salt,simple_organic,0.13888619045333367,0.13888619045333367,9.902957623515274,82.01659997652266,False,False,False
ice,simple_organic,-0.038625185398214495,0.038625185398214495,14.760919663029064,92.2136107552105,False,False,False
ice,sulfur_so2,0.03498223779143237,0.03498223779143237,14.721009814560373,87.99525638827339,False,False,False
