volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error
go_1116,15e009ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e009ci.qub,66.08,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,76.17,33.26,109.14,
go_1116,15e009cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e009cr.qub,66.08,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,76.17,33.26,109.14,
go_1116,15e009ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e009ti.qub,66.08,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,57.07,57.4,109.33,
go_1116,15e009tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e009tr.qub,66.08,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,57.07,57.4,109.33,
go_1116,15e010ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e010ci.qub,66.28999999999999,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,78.64,30.89,109.25,
go_1116,15e010cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e010cr.qub,66.28999999999999,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,78.64,30.89,109.25,
go_1116,15e010ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e010ti.qub,66.28999999999999,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,102.13,12.78,108.92,
go_1116,15e010tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e010tr.qub,66.28999999999999,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,102.13,12.78,108.92,
go_1116,15e011ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e011ci.qub,66.47,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,76.75,32.81,109.28,
go_1116,15e011cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e011cr.qub,66.47,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,76.75,32.81,109.28,
go_1116,15e011ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e011ti.qub,66.47,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,71.25,39.46,109.34,
go_1116,15e011tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e011tr.qub,66.47,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,71.25,39.46,109.34,
go_1116,15e012ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e012ci.qub,66.71000000000001,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,81.5,32.92,109.31,
go_1116,15e012cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e012cr.qub,66.71000000000001,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,81.5,32.92,109.31,
go_1116,15e012ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e012ti.qub,66.71000000000001,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,92.04,49.42,109.1,
go_1116,15e012tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e012tr.qub,66.71000000000001,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,92.04,49.42,109.1,
go_1116,15e013ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e013ci.qub,66.88,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,49.04,64.22,109.64,
go_1116,15e013cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e013cr.qub,66.88,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,49.04,64.22,109.64,
go_1116,15e013ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e013ti.qub,66.88,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,48.28,89.91,109.53,
go_1116,15e013tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e013tr.qub,66.88,leading,chh,chaos,leading_chaos,360,0.6887,5.2592,True,True,48.28,89.91,109.53,
