volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error,abs_lon_to_apex_or_anti,n_valid_pixels,missing_frac,ood_dist_0p7_2p0,ood_ratio_0p7_2p0,screen_pass,screen_error,screen_set,obs_id,product
go_1115,12e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/12e001ci.qub,298.915,trailing,chl,chaos,trailing_chaos,360.0,0.693,5.2494,1.0,1.0,57.34,46.18,89.19,,28.91500000000002,1768,0.229965156794425,1.2400773394896902,22.277994449273173,True,,top8_each_group,120.0,ci
go_1115,12e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/12e001cr.qub,298.915,trailing,chl,chaos,trailing_chaos,360.0,0.693,5.2494,1.0,1.0,57.34,46.18,89.19,,28.91500000000002,1768,0.229965156794425,2.8073391023573966,50.43385839570498,False,,top8_each_group,120.0,cr
go_1115,12e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/12e001ti.qub,298.915,trailing,chl,chaos,trailing_chaos,360.0,0.693,5.2494,1.0,1.0,57.69,45.42,88.07,,28.91500000000002,952,0.0666666666666666,1.4864279271170724,26.70368375829359,False,,top8_each_group,120.0,ti
go_1115,12e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/12e001tr.qub,298.915,trailing,chl,chaos,trailing_chaos,360.0,0.693,5.2494,1.0,1.0,57.69,45.42,88.07,,28.91500000000002,952,0.0666666666666666,2.79310452238026,50.17813410850135,False,,top8_each_group,120.0,tr
go_1115,12e003ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/12e003ci.qub,299.135,trailing,chl,chaos,trailing_chaos,168.0,0.693,2.9869,1.0,0.0,44.38,55.01,99.37,,29.13499999999999,2993,0.1835788325150027,1.1511475921898315,20.68037117721435,True,,top8_each_group,12000.0,ci
go_1115,12e003cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/12e003cr.qub,299.135,trailing,chl,chaos,trailing_chaos,168.0,0.693,2.9869,1.0,0.0,44.38,55.01,99.37,,29.13499999999999,2993,0.1835788325150027,2.392411803062727,42.97968777571568,False,,top8_each_group,12000.0,cr
go_1115,12e003ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/12e003ti.qub,299.135,trailing,chl,chaos,trailing_chaos,168.0,0.693,2.9869,1.0,0.0,68.66,33.71,99.05,,29.13499999999999,1240,0.1014492753623188,1.5252051613971798,27.400316929903592,False,,top8_each_group,12000.0,ti
go_1115,12e003tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/12e003tr.qub,299.135,trailing,chl,chaos,trailing_chaos,168.0,0.693,2.9869,1.0,0.0,68.66,33.71,99.05,,29.13499999999999,1240,0.1014492753623188,2.3409150965733825,42.05454923411667,False,,top8_each_group,12000.0,tr
go_1115,14e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/14e001ci.qub,205.665,trailing,pr,plains,trailing_plains,168.0,0.6927,2.9927,1.0,0.0,58.13,19.56,76.34,,64.33500000000001,616,0.3515789473684211,1.2163457863609837,21.851657000762486,True,,top8_each_group,140.0,ci
go_1115,14e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1115/europa/14e001cr.qub,205.665,trailing,pr,plains,trailing_plains,168.0,0.6927,2.9927,1.0,0.0,58.13,19.56,76.34,,64.33500000000001,616,0.3515789473684211,2.791563719345783,50.1504535757181,False,,top8_each_group,140.0,cr
