obs_file,encounter,hemisphere,terrain_type,geo_unit,n_pixels,delta_geo,delta_rad,delta_full,chaos_proximity,trailing_hemisphere,radiation_exposure,mean_dv_spec,std_dv_spec,mean_ood_dist,std_ood_dist
e6e002ci.qub,E6,leading,chaos,chm,111,3.4727909780138475,0.1821405885251295,3.654931566538977,0.8,0.0,0.190795802321223,-142.20348821288428,3.296227335613103,150.30576616212608,0.6221207236810385
11e001ci.qub,E11,trailing,plains,pr,3431,-4.444786443612344,-2.3039754570323225,-6.748761900644666,0.1,1.0,0.8146601955249189,-142.73643918863843,9.786926629173516,138.1928489816174,7.304995706028932
g2e002ci.qub,G2,trailing,chaos,chl,53,2.7859551944551413,-2.3934049019076156,0.39255029254755414,0.75,1.0,0.9664767674127446,-139.17834402564955,4.616303102222379,148.87310078103565,1.1917876927177184
15e001ci.qub,E15,leading,plains,pr,865,-4.444786443612372,0.2836814604699214,-4.161104983142451,0.1,0.0,0.018418716601170948,-120.6096157636909,21.264657268915812,93.65349708895641,24.015463911107034
