model,rho_geo,rho_rad,pr_auc_spectral,pr_auc_full,pr_auc_context_only,delta_pr_auc,delta_full_minus_context,fpr_rad_spectral,fpr_rad_full,fpr_reduction_rad_mimic,precision10_spectral,precision10_full,recall10_spectral,recall10_full,delta_precision10,delta_recall10,top10_rad_spectral,top10_rad_full,top10_rad_reduction,top10_exogenic_spectral,top10_exogenic_full
logreg,0.0,0.0,0.9466715627092037,0.9482810925632649,0.1932838837387652,0.0016095298540611536,0.7549972088244996,0.0,0.0,0.0,1.0,1.0,0.5813953488372093,0.5813953488372093,0.0,0.0,0,0,0,0,0
logreg,0.0,0.25,0.9617211351124814,0.9669108853977247,0.27598983974113594,0.0051897502852433774,0.6909210456565889,0.0,0.0,0.0,1.0,1.0,0.5681818181818182,0.5681818181818182,0.0,0.0,0,0,0,0,0
logreg,0.0,0.5,0.9337738794745837,0.9378242715335514,0.3100186521197358,0.004050392058967733,0.6278056194138156,0.0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.5323741007194245,0.5323741007194245,0.0,0.0,0,0,0,0,0
logreg,0.0,0.75,0.9498665416220694,0.9527589279932153,0.2796302636341749,0.002892386371145861,0.6731286643590404,0.0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.5138888888888888,0.5138888888888888,0.0,0.0,0,0,0,0,0
logreg,0.0,1.0,0.9477572764485789,0.9566706797201,0.28799085411142616,0.008913403271521125,0.6686798256086739,0.0,0.0,0.0,1.0,1.0,0.5681818181818182,0.5681818181818182,0.0,0.0,0,0,0,0,0
logreg,0.25,0.0,0.9507580049353975,0.9648863977032424,0.4946815632726476,0.014128392767844833,0.47020483443059474,0.0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.5522388059701493,0.5522388059701493,0.0,0.0,0,0,0,0,0
logreg,0.25,0.25,0.9539067529060901,0.9694095529915051,0.4371433591096612,0.015502800085415047,0.5322661938818439,0.0,0.0,0.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0,0,0,0,0
logreg,0.25,0.5,0.9682289287805436,0.9702066130889994,0.39937986580280127,0.001977684308455796,0.5708267472861981,0.0,0.0,0.0,1.0,0.9866666666666667,0.6048387096774194,0.5967741935483871,-0.013333333333333308,-0.008064516129032251,0,0,0,0,0
logreg,0.25,0.75,0.9552288297358543,0.9592367249647643,0.4368840677800062,0.004007895228909986,0.5223526571847581,0.0,0.0,0.0,1.0,1.0,0.5319148936170213,0.5319148936170213,0.0,0.0,0,0,0,0,0
logreg,0.25,1.0,0.968031106333124,0.9736533196258251,0.5016959038148205,0.005622213292701184,0.4719574158110046,0.0,0.0,0.0,0.9733333333333334,1.0,0.4965986394557823,0.5102040816326531,0.026666666666666616,0.013605442176870763,0,0,0,0,0
