pair_id,delta_spectral_only_exchange_minus_radiation,delta_full_exchange_minus_radiation,score_spectral_exchange,score_spectral_radiation,score_full_exchange,score_full_radiation
0,0.0,0.46289525700524015,0.6197111783399137,0.6197111783399137,0.4628953585454938,1.0154025366086891e-07
1,0.0,0.9971157812411335,0.5519687823385244,0.5519687823385244,0.997126478651382,1.0697410248536073e-05
2,0.0,0.9993291766104409,0.5507099667323702,0.5507099667323702,0.9996455335946856,0.0003163569842447172
3,0.0,0.6007388969945006,0.5963370754635998,0.5963370754635998,0.6007393900566301,4.930621295928985e-07
4,0.0,0.7856950754664083,0.6902579598679244,0.6902579598679244,0.7856951649707288,8.950432049092135e-08
5,0.0,0.35892743281817646,0.47423266898152744,0.47423266898152744,0.35892751015587915,7.733770269236701e-08
6,0.0,0.29201493844878956,0.6039335522405483,0.6039335522405483,0.2920150171047853,7.86559957218593e-08
7,0.0,0.405798524095128,0.457747516069304,0.457747516069304,0.40579862846942094,1.0437429290772286e-07
8,0.0,0.8530207565280941,0.4059963679554256,0.4059963679554256,0.8530215032905526,7.467624585549583e-07
9,0.0,0.8714333326775459,0.6348468891391033,0.6348468891391033,0.8714341335332855,8.008557396657316e-07
10,0.0,0.993939460517792,0.5297196862407713,0.5297196862407713,0.9939463841460887,6.923628296693128e-06
11,0.0,0.9047015891714715,0.4071150926559693,0.4071150926559693,0.9047033223976781,1.7332262066476492e-06
12,0.0,0.6371798140536962,0.4634089471809768,0.4634089471809768,0.6371799409737142,1.26920018013979e-07
13,0.0,0.9910397079390064,0.6099669161869603,0.6099669161869603,0.9999717442182907,0.008932036279284268
14,0.0,0.9946092687406458,0.5371547510785641,0.5371547510785641,0.9999637398895219,0.005354471148876108
15,0.0,0.992037744955491,0.6225113415528074,0.6225113415528074,0.9920777753842993,4.003042880827669e-05
16,0.0,0.8799733740514338,0.4706558882858813,0.4706558882858813,0.879973705284726,3.3123329210065786e-07
17,0.0,0.9765813861253377,0.691611028025624,0.691611028025624,0.9999921278582957,0.023410741732958002
18,0.0,0.976317765811689,0.4388205295645874,0.4388205295645874,0.9763227640538192,4.998242130203476e-06
19,0.0,0.6828817590834338,0.5898760985033594,0.5898760985033594,0.6828819193771545,1.6029372060021756e-07
20,0.0,0.9987211122692458,0.4824194383142313,0.4824194383142313,0.9998418539721515,0.0011207417029058242
21,0.0,0.8486188762452899,0.69943400923742,0.69943400923742,0.8486203177630671,1.441517777243382e-06
22,0.0,0.9930905945699406,0.5862399508550669,0.5862399508550669,0.9930988557408271,8.261170886485954e-06
23,0.0,0.9997095124786759,0.5117601270564983,0.5117601270564983,0.99977666281314,6.715033446413032e-05
24,0.0,0.9764718320396074,0.5922718942120091,0.5922718942120091,0.9764840447910862,1.2212751478763591e-05
25,0.0,0.16546152572309714,0.4647509100141107,0.4647509100141107,0.16546156320091904,3.747782191078237e-08
26,0.0,0.5482203514965333,0.42818326903951487,0.42818326903951487,0.5482204651590498,1.1366251650912893e-07
27,0.0,0.9979090788834432,0.6699260502599322,0.6699260502599322,0.9999944295150227,0.0020853506315795353
28,0.0,0.3443807314532264,0.4504693661611199,0.4504693661611199,0.3443809941278884,2.626746620165679e-07
29,0.0,0.8989435891335414,0.42373466398874576,0.42373466398874576,0.8989440043356489,4.1520210743942844e-07
30,0.0,0.9990520066125583,0.5425445710493852,0.5425445710493852,0.999597584133915,0.0005455775213566923
31,0.0,0.9501477684711215,0.6605251061125731,0.6605251061125731,0.9501490892046914,1.3207335699888938e-06
32,0.0,0.4663386372919781,0.43102090599883897,0.43102090599883897,0.4663388709192917,2.3362731363057707e-07
33,0.0,0.9836437095709751,0.444925062460916,0.444925062460916,0.9836597766605658,1.6067089590636956e-05
34,0.0,0.6239823962267853,0.45678551983974724,0.45678551983974724,0.6239826656132595,2.6938647425201065e-07
35,0.0,0.9985053962427427,0.4359575518364773,0.4359575518364773,0.9987627081529266,0.0002573119101838402
