setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
full,logreg,5600,2400,0.18333333333333332,0.9803327797504107,0.9937024582560297,1.0,0.5454545454545454,0.027102385394767947,0.0,0.0,240,0,0,0,0,3428,moderate,5
context_only,logreg,5600,2400,0.18333333333333332,0.47073487923386004,0.8631180426716142,0.44166666666666665,0.2409090909090909,0.150468849817936,0.0,0.0,106,0,0,0,134,3428,moderate,5
spectral_only,logreg,5600,2400,0.18791666666666668,0.9603734129296064,0.9873685863123849,0.9916666666666667,0.5277161862527716,0.039236944880800595,0.0,0.0,238,0,0,1,1,3429,moderate,5
spectral_geology,logreg,5600,2400,0.18791666666666668,0.9767675336613264,0.9925779210215256,1.0,0.532150776053215,0.031602276049811334,0.0,0.0,240,0,0,0,0,3429,moderate,5
spectral_radiation,logreg,5600,2400,0.18791666666666668,0.9662971605444892,0.9890705222645304,0.9958333333333333,0.5299334811529933,0.03626101196549187,0.0,0.0,239,0,0,1,0,3429,moderate,5
full,logreg,5600,2400,0.18791666666666668,0.9783978218410383,0.9930614255533852,1.0,0.532150776053215,0.030072639469288724,0.0,0.0,240,0,0,0,0,3429,moderate,5
context_only,logreg,5600,2400,0.18791666666666668,0.4145806962181935,0.8454162063893131,0.3875,0.20620842572062084,0.15921088734350344,0.0,0.0,93,0,0,0,147,3429,moderate,5
spectral_only,logreg,5600,2400,0.17708333333333334,0.9470188959881796,0.9834412509307521,0.9875,0.5576470588235294,0.04579674380844464,0.0,0.0,237,0,0,2,1,3430,moderate,5
spectral_geology,logreg,5600,2400,0.17708333333333334,0.9763893403164638,0.9928101265822785,1.0,0.5647058823529412,0.02836301715365746,0.0,0.0,240,0,0,0,0,3430,moderate,5
spectral_radiation,logreg,5600,2400,0.17708333333333334,0.9502826998657485,0.9841060312732688,0.9916666666666667,0.56,0.0425456736752858,0.0,0.0,238,0,0,2,0,3430,moderate,5
