setting,model,n_seeds,pr_auc_mean,pr_auc_std,pr_auc,precision_at_10pct_mean,precision_at_10pct_std,precision_at_10pct,recall_at_top10pct_mean,recall_at_top10pct_std,recall_at_top10pct,roc_auc_mean,roc_auc_std,roc_auc,brier_mean,brier_std,brier,fpr_radiation_mimic_top10pct_mean,fpr_radiation_mimic_top10pct_std,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct_mean,fpr_exogenic_complex_organic_top10pct_std,fpr_exogenic_complex_organic_top10pct,top10_positive_count_mean,top10_positive_count_std,top10_positive_count,top10_radiation_mimic_count_mean,top10_radiation_mimic_count_std,top10_radiation_mimic_count,top10_exogenic_count_mean,top10_exogenic_count_std,top10_exogenic_count,top10_noise_count_mean,top10_noise_count_std,top10_noise_count,n_subset_mean,n_subset_std,positive_rate_subset_mean,positive_rate_subset_std
spectral_only,logreg,20,0.31953628554802826,0.0588801496161938,0.3195 +/- 0.0589,0.3286796536796536,0.12622850334728875,0.3287 +/- 0.1262,0.13631944559019257,0.04572244572989711,0.1363 +/- 0.0457,0.5922191870370812,0.03617583203970436,0.5922 +/- 0.0362,0.27617612843061917,0.005189520766048241,0.2762 +/- 0.0052,0.06871753246753247,0.07440296482843975,0.0687 +/- 0.0744,0.017543859649122806,0.07647191129018724,0.0175 +/- 0.0765,3.05,1.190974832912761,3.0500 +/- 1.1910,0.85,0.9880869341680844,0.8500 +/- 0.9881,0.05,0.22360679774997894,0.0500 +/- 0.2236,1.45,1.4317821063276353,1.4500 +/- 1.4318,97.2,10.354759902169572,0.23037971953165853,0.04311742216281461
full,logreg,20,0.7688866941148415,0.0909791583363943,0.7689 +/- 0.0910,0.8727344877344876,0.13432340415904942,0.8727 +/- 0.1343,0.3739989674203009,0.08790279238278086,0.3740 +/- 0.0879,0.8963371255473527,0.03755907564163652,0.8963 +/- 0.0376,0.1377461187491316,0.029894205972138828,0.1377 +/- 0.0299,0.013846153846153847,0.034091857521984396,0.0138 +/- 0.0341,0.0,0.0,0.0000 +/- 0.0000,8.15,1.6630662866176473,8.1500 +/- 1.6631,0.15,0.36634754853252327,0.1500 +/- 0.3663,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,97.2,10.354759902169572,0.23037971953165853,0.04311742216281461
context_only,logreg,20,0.3502609090223924,0.0638457190573377,0.3503 +/- 0.0638,0.30100288600288594,0.13384220654006163,0.3010 +/- 0.1338,0.12649877898898979,0.05195566360347247,0.1265 +/- 0.0520,0.6724605073301736,0.04765545178729906,0.6725 +/- 0.0477,0.3212297951211897,0.03401005777071474,0.3212 +/- 0.0340,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,2.8,1.2814465510343749,2.8000 +/- 1.2814,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,97.2,10.354759902169572,0.23037971953165853,0.04311742216281461
