setting,model,n_seeds,pr_auc_mean,pr_auc_std,pr_auc,precision_at_10pct_mean,precision_at_10pct_std,precision_at_10pct,recall_at_top10pct_mean,recall_at_top10pct_std,recall_at_top10pct,roc_auc_mean,roc_auc_std,roc_auc,brier_mean,brier_std,brier,fpr_radiation_mimic_top10pct_mean,fpr_radiation_mimic_top10pct_std,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct_mean,fpr_exogenic_complex_organic_top10pct_std,fpr_exogenic_complex_organic_top10pct,top10_positive_count_mean,top10_positive_count_std,top10_positive_count,top10_radiation_mimic_count_mean,top10_radiation_mimic_count_std,top10_radiation_mimic_count,top10_exogenic_count_mean,top10_exogenic_count_std,top10_exogenic_count,top10_noise_count_mean,top10_noise_count_std,top10_noise_count
spectral_only,logreg,20,0.9572427253827677,0.004200470575083391,0.9572 +/- 0.0042,0.9933333333333334,0.005954260354928155,0.9933 +/- 0.0060,0.5512971087308354,0.014075474869967734,0.5513 +/- 0.0141,0.9874081247918672,0.0016099978540220017,0.9874 +/- 0.0016,0.04051871735816178,0.002312942430655345,0.0405 +/- 0.0023,7.22543352601156e-05,0.0003231312106213569,0.0001 +/- 0.0003,0.0,0.0,0.0000 +/- 0.0000,238.4,1.429022485182754,238.4000 +/- 1.4290,0.05,0.22360679774997894,0.0500 +/- 0.2236,0.0,0.0,0.0000 +/- 0.0000,1.2,1.3218806379747876,1.2000 +/- 1.3219
spectral_geology,logreg,20,0.9810694425608804,0.0024639526111701732,0.9811 +/- 0.0025,0.9995833333333334,0.0012824729401064384,0.9996 +/- 0.0013,0.5547786492999507,0.014314281733421684,0.5548 +/- 0.0143,0.9945539607824841,0.001021044082013727,0.9946 +/- 0.0010,0.025263582747781965,0.002899867630640314,0.0253 +/- 0.0029,7.451564828614009e-05,0.00033324410991054996,0.0001 +/- 0.0003,0.0,0.0,0.0000 +/- 0.0000,239.9,0.30779350562554625,239.9000 +/- 0.3078,0.05,0.22360679774997894,0.0500 +/- 0.2236,0.0,0.0,0.0000 +/- 0.0000,0.05,0.22360679774997894,0.0500 +/- 0.2236
spectral_radiation,logreg,20,0.961467505928613,0.004061378676646048,0.9615 +/- 0.0041,0.9941666666666666,0.005474555711098215,0.9942 +/- 0.0055,0.5517621016071664,0.014140241351749171,0.5518 +/- 0.0141,0.9886867469879098,0.0016809222684757252,0.9887 +/- 0.0017,0.037824703777507324,0.0021021544491289274,0.0378 +/- 0.0021,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,238.6,1.3138933706635725,238.6000 +/- 1.3139,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,1.1,1.2523661815266247,1.1000 +/- 1.2524
full,logreg,20,0.9819743934648905,0.0025135997516504784,0.9820 +/- 0.0025,0.9995833333333334,0.0012824729401064384,0.9996 +/- 0.0013,0.5547786492999507,0.014314281733421684,0.5548 +/- 0.0143,0.9948148571719004,0.0010682635143492902,0.9948 +/- 0.0011,0.024214247466859407,0.0027723353518607947,0.0242 +/- 0.0028,7.451564828614009e-05,0.00033324410991054996,0.0001 +/- 0.0003,0.0,0.0,0.0000 +/- 0.0000,239.9,0.30779350562554625,239.9000 +/- 0.3078,0.05,0.22360679774997894,0.0500 +/- 0.2236,0.0,0.0,0.0000 +/- 0.0000,0.05,0.22360679774997894,0.0500 +/- 0.2236
context_only,logreg,20,0.45839991880471576,0.023248642816017875,0.4584 +/- 0.0232,0.4593749999999999,0.034355889158673235,0.4594 +/- 0.0344,0.25501956345476684,0.02080682941159304,0.2550 +/- 0.0208,0.86735789759913,0.008643811912144252,0.8674 +/- 0.0086,0.14608510451249637,0.006428430526999602,0.1461 +/- 0.0064,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,110.25,8.245413398081576,110.2500 +/- 8.2454,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000
