pair_id,delta_spectral_only_exchange_minus_radiation,delta_full_exchange_minus_radiation,score_spectral_exchange,score_spectral_radiation,score_full_exchange,score_full_radiation
0,0.0,0.5140162813420933,0.4356745475708769,0.4356745475708769,0.5140472782229049,3.099688081159322e-05
1,0.0,0.9756057108326637,0.6209995232854949,0.6209995232854949,0.9994749306331694,0.023869219800505714
2,0.0,0.9721293695529999,0.6162752986623297,0.6162752986623297,0.9731227513835886,0.000993381830588669
3,0.0,0.9157922155365027,0.6027308253310354,0.6027308253310354,0.9163630885712702,0.000570873034767501
4,0.0,0.9576035219439066,0.5123688951735643,0.5123688951735643,0.9578291482651375,0.00022562632123092813
5,0.0,0.5022725330453983,0.555605332656282,0.555605332656282,0.5023047784430903,3.224539769202477e-05
6,0.0,0.9759202098065011,0.4057130452910295,0.4057130452910295,0.9981123789605163,0.02219216915401527
7,0.0,0.9739773025508308,0.6250270571036775,0.6250270571036775,0.9751937103439929,0.0012164077931621704
8,0.0,0.9850273837196496,0.6443692894370165,0.6443692894370165,0.9872429061490658,0.0022155224294162974
9,0.0,0.7767269335492271,0.6636522513832994,0.6636522513832994,0.7768332711199896,0.00010633757076246857
10,0.0,0.6650723011270318,0.5328049611915447,0.5328049611915447,0.6651022952684651,2.999414143334578e-05
11,0.0,0.6543732522886982,0.608635768337486,0.608635768337486,0.6544501601657163,7.690787701813342e-05
12,0.0,0.8346650936614863,0.6908999024314829,0.6908999024314829,0.8347627274280383,9.763376655195225e-05
13,0.0,0.9405330972366743,0.6227427011380543,0.6227427011380543,0.9992608897473884,0.05872779251071397
14,0.0,0.7497018028571327,0.43480129919643073,0.43480129919643073,0.7498297622436806,0.00012795938654786896
15,0.0,0.7446645948622881,0.41788368513183943,0.41788368513183943,0.744817375565414,0.00015278070312597786
16,0.0,0.8021671222198999,0.4378209924432285,0.4378209924432285,0.8022260468006374,5.892458073739768e-05
17,0.0,0.9020360772070684,0.6899932798324414,0.6899932798324414,0.9024111152079892,0.0003750380009209152
18,0.0,0.7095569843010334,0.5506733451945517,0.5506733451945517,0.7096295597584258,7.257545739237918e-05
19,0.0,0.9712613985655216,0.4208103321113477,0.4208103321113477,0.9719924268600112,0.0007310282944895302
20,0.0,0.8150727312134558,0.6119840812891522,0.6119840812891522,0.8152303926506232,0.00015766143716748612
21,0.0,0.4370167457924089,0.6989887503348313,0.6989887503348313,0.4370572460955854,4.050030317649599e-05
22,0.0,0.9903655946867298,0.45980988106326176,0.45980988106326176,0.9975302304075675,0.007164635720837675
23,0.0,0.975876354877474,0.6440923279954582,0.6440923279954582,0.9761715366203315,0.0002951817428574802
24,0.0,0.3672026940047633,0.6132652291587151,0.6132652291587151,0.36723144440443467,2.8750399671351862e-05
25,0.0,0.9270399969698062,0.6655106391001916,0.6655106391001916,0.9275146591844007,0.0004746622145944317
26,0.0,0.9817114184020493,0.6677889565662745,0.6677889565662745,0.998584730075605,0.016873311673555703
27,0.0,0.9756153830099045,0.6642692293674664,0.6642692293674664,0.9758601809675553,0.0002447979576508832
