wavelength_um,value,kind,source_id,source_name,notes
0.372,0.8629459491666668,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.373,0.8517296938333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.374,0.847326691,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.375,0.8495931583333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.376,0.8481477394999999,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.377,0.8497048853333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.378,0.8545509753333332,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.379,0.8595798568333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.38,0.8605834568333334,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.381,0.8559973691666668,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.382,0.8505244025,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.383,0.852051988,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.384,0.849098772,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
