wavelength_um,value,kind,source_id,source_name,notes
0.61,0.064629,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.62,0.066795,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.63,0.069321,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.64,0.072317,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.65,0.075726,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.66,0.07862,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.67,0.082403,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.68,0.085435,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.69,0.089739,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
0.7,0.093282,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
