model,n_pairs_requested,n_pairs,ambiguous_low,ambiguous_high,selected_source_score_mean,selected_source_score_std,spectral_delta_mean,spectral_delta_std,full_delta_mean,full_delta_std,full_delta_sign_test_p
logreg,200,200,0.4,0.7,0.5508555105528109,0.0949932901437644,0.0,0.0,0.8230782232714645,0.1416509026869604,1.2446030555722283e-60
rf,200,200,0.4,0.7,0.5288596272093011,0.1838053857825476,0.0,0.0,0.6044907989581185,0.2597019468582558,1.2446030555722283e-60
