spec_000,spec_001,spec_002,spec_003,spec_004,spec_005,spec_006,spec_007,spec_008,spec_009,spec_010,spec_011,spec_012,spec_013,spec_014,spec_015,spec_016,spec_017,spec_018,spec_019,spec_020,spec_021,spec_022,spec_023,spec_024,spec_025,spec_026,spec_027,spec_028,spec_029,spec_030,spec_031,spec_032,spec_033,spec_034,spec_035,spec_036,spec_037,spec_038,spec_039,spec_040,spec_041,spec_042,spec_043,spec_044,spec_045,spec_046,spec_047,spec_048,spec_049,spec_050,spec_051,spec_052,encounter,hemisphere,terrain,geo_unit,p_spec,p_full,dv_spec,dv_full,delta_geo,delta_rad,delta_full,ood_dist,ood_ratio
0.8293799161911011,0.8803745567798614,0.9353580373984116,0.9747277663304256,0.9803680399901994,0.9681289915855116,0.9508520185947418,0.970783754159476,0.911287470628287,0.8633653847070845,0.8315450262477381,0.7603713301301913,0.7187510949327446,0.7120210042900103,0.7052909136472758,0.6985608230045415,0.6918307323618071,0.6851006417190728,0.6783705510763385,0.671640460433604,0.6649103697908697,0.6581802791481353,0.6514501885054009,0.6421529412269592,0.6444681182162454,0.6328084349632263,0.5926468509894148,0.6155971320775839,0.5503463084881124,0.4732318213422787,0.3810184460419875,0.3077917855519513,0.2833171165906466,0.2857261896133422,0.2940385639667511,0.3019518907253559,0.312845170042897,0.3251416492920655,0.3161935641215398,0.328940725326538,0.3492606098835285,0.3599024389991321,0.3245184774582201,0.3395272433757781,0.3363198727369308,0.3438749829163918,0.3346715441116919,0.3252099530054973,0.277079028710154,0.2076777568230262,0.1714612568607767,0.1427712447315681,0.146530039035357,E11,trailing,plains,pr,0.8325892959966269,2.7081628859653106e-06,1.6040903798771944,-12.819237346643291,-3.8962611223925876,-0.3194378595308649,-4.2156989819234525,0.7360743651637555,12.775665463664149
0.8243041634559631,0.8773381769657135,0.9324111012312084,0.9710613810099088,0.975974562058922,0.9711434726531688,0.9507149159908296,0.9602492347018408,0.9029286358192676,0.8633264940518602,0.8214496651678597,0.7589348345312454,0.7308336638767468,0.7231798375477252,0.7155260112187036,0.7078721848896821,0.7002183585606605,0.692564532231639,0.6849107059026175,0.6772568795735959,0.6696030532445744,0.6619492269155528,0.6542954005865312,0.6440425698573773,0.6452491606464823,0.6378819465637207,0.6112328552282772,0.6062417621795948,0.5556476991910202,0.4741459609442992,0.3764726359110613,0.2988689312568076,0.2761189364469968,0.283786273919619,0.2850188314914703,0.2945315186793987,0.3062923996503117,0.321093970307937,0.3099122065764207,0.3222529828548431,0.3396396487951278,0.350111896072635,0.3260335220740391,0.3311392188072204,0.3253457404099977,0.3390760914637492,0.3307298398934877,0.3205930480590234,0.2580562158850311,0.2013013656322773,0.1530132082127434,0.1381675053871314,0.138160138978408,E11,trailing,plains,pr,0.904829220213599,3.8942202842747955e-06,2.2520732592799004,-12.456013188208004,-3.8962611223925894,-0.3194378595308649,-4.215698981923454,0.7565636611569103,13.131287671939674
0.8134543895721436,0.8744834065437317,0.9255764869543224,0.9687197492672848,0.971972617484231,0.9678776232095864,0.9469505965709688,0.9483656187093894,0.8906301473843231,0.8606860784383924,0.8131272692716761,0.7485736126208125,0.7191749203785235,0.7128998031338798,0.7066246858892361,0.7003495686445924,0.6940744513999486,0.687799334155305,0.6815242169106613,0.6752490996660176,0.668973982421374,0.6626988651767302,0.6564237479320866,0.644738887823545,0.6402850524159788,0.6338191330432892,0.5909585141218625,0.5798321430499738,0.540142558171199,0.4602224032842473,0.363862156867981,0.2858254749041335,0.2624306609997383,0.2714259303533114,0.2707435488700866,0.2830834929759686,0.295201481981132,0.3087410401839476,0.299196104819958,0.308352792263031,0.326548131612631,0.3361365444787584,0.3188192303364093,0.3173308762220235,0.3110170336870047,0.3322522605840977,0.3237798677040978,0.3053612463749373,0.2420357245070331,0.1895847279291886,0.1363335425844631,0.1254721999395894,0.1218586408174955,E11,trailing,plains,pr,0.9121140705370309,3.2430954972272704e-06,2.3397253420871373,-12.63897904078495,-3.8962611223925876,-0.3194378595308649,-4.2156989819234525,0.8280273668375081,14.371646581009898
0.7952783703804016,0.8725181102752686,0.9168001019037688,0.9592262854942908,0.9618058846197056,0.960652893781662,0.9378069877624512,0.9470835014153982,0.875834956878924,0.8524666281846857,0.8019719324039143,0.7327813983873558,0.7020179142979881,0.6968149282406243,0.6916119421832604,0.6864089561258966,0.6812059700685327,0.6760029840111689,0.6707999979538051,0.6655970118964412,0.6603940258390774,0.6551910397817134,0.6499880537243496,0.6377774431155279,0.6426028964173703,0.6281776845455169,0.593117195367813,0.5711717518476339,0.528317153453827,0.4530572595487112,0.3608348942719974,0.2845473106090838,0.2605559665423173,0.265931296807069,0.2714295983314514,0.28158812385339,0.2863865747251584,0.2998948915646626,0.293909498819938,0.3049231708049773,0.3236865194944235,0.332234272975048,0.3259461063605088,0.3135187194897578,0.3067686188679475,0.3301077141211583,0.3268835232808039,0.3120902389287949,0.262978229813903,0.1937679313696348,0.1356313874703329,0.1271457882555386,0.1215841506536191,E11,trailing,plains,pr,0.866572741982468,2.0406871626347195e-06,1.8709896092595018,-13.102221921709468,-3.8962611223925894,-0.3194378595308649,-4.215698981923454,0.8533792880424012,14.81166688263096
0.8148383498191833,0.8802930891513825,0.927413889994988,0.9669673158572272,0.9707084753131136,0.9565538768584914,0.9379137575626374,0.9673138001492916,0.8912966706370578,0.8665942370891574,0.8084705562991952,0.7253813188494618,0.67633706675839,0.6735747142497586,0.670812361741127,0.6680500092324956,0.6652876567238641,0.6625253042152327,0.6597629517066013,0.6570005991979697,0.6542382466893383,0.6514758941807068,0.6487135416720754,0.6421016702285179,0.633257353578815,0.6190906643867493,0.5866253751974839,0.5642304172882666,0.5097539342366734,0.4310818919698698,0.3445638280648453,0.2683335519753968,0.2438750610901759,0.2400935510030158,0.2737973034381866,0.2549766579499611,0.2700534447003868,0.2830159320281102,0.2783137665345118,0.2912998616695403,0.3107971778282752,0.318509389425962,0.3107823546116168,0.2986677958415105,0.2925687267230107,0.2927445711997839,0.2930226908280299,0.3016368414346989,0.261572069111671,0.1813688716063133,0.1266059153180087,0.1093789019998702,0.1089466360899119,E11,trailing,plains,pr,0.833198738091822,6.147639268374301e-07,1.6084691395607522,-14.302026886869353,-3.896261122392591,-0.3194378595308649,-4.2156989819234525,0.9397208060412494,16.310252354131276
0.8334532380104065,0.8922265648841858,0.9381167485163764,0.9810075833247258,0.9884634873339238,0.949528954120783,0.9442102372646332,0.9787222465486016,0.9177991515807522,0.8938204338917368,0.8230034476928128,0.7721634493529344,0.6855186769214691,0.6820186160660209,0.6785185552105727,0.6750184943551246,0.6715184334996764,0.6680183726442284,0.6645183117887802,0.661018250933332,0.6575181900778839,0.6540181292224357,0.6505180683669877,0.6554001478048471,0.6398277551163243,0.6253249287605286,0.5981753404323871,0.5750676233034867,0.5286302754512201,0.4515018661058584,0.3564718113495754,0.28733881849509,0.2600397994885078,0.2632261491738832,0.2984627187252044,0.2843084009794088,0.2962532543954049,0.3095850584598688,0.3028558286336753,0.3164417028427123,0.3323316677258565,0.3404636901753548,0.3267792389943049,0.3173525117910825,0.2992725170575655,0.315850718663289,0.3085206063894125,0.3042062413233977,0.2770877655680853,0.197939827808967,0.1597265912831285,0.1398413032293319,0.1470664108028778,E11,trailing,plains,pr,0.9132009446304697,5.121913175987827e-06,2.3533602103054814,-12.181977399597638,-3.8962611223925876,-0.3194378595308649,-4.2156989819234525,0.8254754799016627,14.327354787494981
0.8448377847671509,0.9029597997665404,0.944919266150548,0.9912065432621884,0.9954259518448632,0.9674860055630026,0.9578259527683258,0.9718094395317194,0.912313044981192,0.8928758350702435,0.8303811177042604,0.7887866096642182,0.6621582984618987,0.6604000868441375,0.6586418752263764,0.6568836636086153,0.655125451990854,0.6533672403730929,0.6516090287553318,0.6498508171375706,0.6480926055198094,0.6463343939020483,0.6445761822842871,0.6537914120233975,0.6277824990621959,0.6239711046218872,0.5884256069476786,0.5710273426312666,0.5460463743943436,0.4606327200663906,0.3667117150930259,0.2924389266050777,0.2661517537557162,0.2871758869061103,0.2839641869068146,0.2937919758833371,0.3048289425045479,0.3214515752517259,0.3104600388270159,0.3246770143508911,0.3394137345827543,0.3486319336727373,0.3292476640297816,0.3250237813362708,0.3101202914348015,0.322446550314243,0.3182820214675022,0.2920414541776364,0.2558954273926392,0.1848185536953119,0.1628064168546037,0.1444014110637984,0.1476922145256629,E11,trailing,plains,pr,0.9211046578807427,1.1460992295657136e-05,2.457451473983706,-11.376549801614534,-3.8962611223925903,-0.3194378595308649,-4.215698981923455,0.8260851832565276,14.337937096107366
0.8514114618301392,0.9034955382347108,0.9432435301633982,0.9900036224952112,0.994827577630982,0.984121550504978,0.9457057297229768,0.9650044445773116,0.9022804703421264,0.8826494739605832,0.816432778616898,0.7614969524718425,0.673396651948977,0.6723118604996071,0.6712270690502372,0.6701422776008673,0.6690574861514974,0.6679726947021275,0.6668879032527576,0.6658031118033877,0.6647183203540178,0.6636335289046479,0.662548737455278,0.6668326056920565,0.6495613765170555,0.6516034662723541,0.6320724180111518,0.6191343371684734,0.601696838782384,0.5135249281657559,0.4228878686061273,0.3458555707564719,0.3304135753558232,0.3433990111717811,0.3272235095500946,0.3448562365311842,0.3591147301761249,0.3721464365720748,0.3584173211684595,0.3782168984413147,0.3917594311329035,0.3986319970083598,0.3845342558163863,0.3686367149536427,0.3536720901727676,0.3715057235497694,0.3654956423319302,0.3480804115533829,0.301909922643472,0.2408586116937491,0.2156023756238342,0.2053151936021469,0.1962944995898466,E11,trailing,plains,pr,0.7425965378562689,2.2641193941951043e-05,1.0595081340267605,-10.695716928617625,-3.8962611223925894,-0.3194378595308649,-4.215698981923454,0.5797236854630775,10.061966857371857
0.8325261473655701,0.8822576820850373,0.9351306465955882,0.9708376893630396,0.9877970164058772,0.9841206770676834,0.9420979619026184,0.9630235497278112,0.8929050296317529,0.8952740073204042,0.8201778053327371,0.754289092908379,0.6874374188305561,0.6855489024739103,0.6836603861172645,0.6817718697606187,0.6798833534039729,0.6779948370473271,0.6761063206906812,0.6742178043340354,0.6723292879773897,0.6704407716207438,0.668552255264098,0.6641333176539495,0.6548545310515483,0.6585431694984436,0.651686634008701,0.6403690296870012,0.6222208440303804,0.5332674880064168,0.4380822158776798,0.3582088947296141,0.345399219256181,0.3523671810443585,0.3350287079811096,0.360260541163958,0.3752163876103991,0.3875199510500981,0.3687029402989609,0.3920723140239716,0.3996694340155675,0.4099043505337399,0.3918806474942427,0.3774304504577931,0.3625373056301704,0.3937054104529894,0.3862101811629075,0.3739487613622959,0.3186442733720966,0.258323899599222,0.2201340477202686,0.2103321602326313,0.1964370453586945,E11,trailing,plains,pr,0.5416427011254287,2.331764274832149e-05,0.1669575525216197,-10.666276966510143,-3.8962611223925894,-0.3194378595308649,-4.215698981923454,0.501722595712944,8.70814192389893
0.8142315149307251,0.8665759146213532,0.9262687903184158,0.950017395386329,0.9840076488392951,0.9896900626329276,0.9591529548168184,0.9852980457189427,0.9191006958939646,0.9315630252544695,0.8513662583045376,0.7668331843296082,0.715510569035767,0.7109248334568498,0.7063390978779324,0.701753362299015,0.6971676267200977,0.6925818911411803,0.687996155562263,0.6834104199833456,0.6788246844044283,0.6742389488255109,0.6696532132465937,0.6633169834430401,0.6628380881921025,0.6641491234302521,0.6743153906785525,0.6697636517194601,0.6383155836508825,0.5506751751171721,0.43519798379678,0.3651820856791274,0.3380373143232785,0.3492169655286349,0.3365396559238434,0.3661426108617048,0.3809765245168264,0.395258742570877,0.3718513938096853,0.4025782167911529,0.408437321965511,0.4036940713875164,0.3903691071730393,0.3790975469809313,0.3661997132576429,0.4060693543690902,0.3887901319907262,0.3780493378639221,0.306941827517429,0.2462820392388564,0.2003419699559685,0.1948629663190769,0.1780648403442823,E11,trailing,plains,pr,0.2615250374686977,9.860392845456413e-06,-1.0380571737571143,-11.526974687363577,-3.8962611223925894,-0.3194378595308649,-4.215698981923454,0.4548449689232563,7.894510983956722
0.8135873079299927,0.8645339488983155,0.9129329259579,0.9520840727365932,0.9825162500825546,0.9700417486520916,0.9853315114974976,0.980112291929376,0.9176266762136502,0.9193805754184724,0.8685847215980063,0.7880593265285931,0.74547077590539,0.7400566709813643,0.7346425660573385,0.7292284611333127,0.723814356209287,0.7184002512852613,0.7129861463612356,0.7075720414372098,0.702157936513184,0.6967438315891583,0.6913297266651325,0.6869921317467322,0.6770112842093897,0.6772557854652405,0.718090011064823,0.7217542891318981,0.6846507489681245,0.5925837204656526,0.4718558765374698,0.4042630608265215,0.3765765657791725,0.3890654284220475,0.3793727159500122,0.4136815020671257,0.4262615041878387,0.4417685685249475,0.4305680916859553,0.437627512216568,0.4447257140508065,0.442581885416089,0.4317880011521853,0.422403398843912,0.4161160778540831,0.4521687649763548,0.4340520349832681,0.4203964712528082,0.347643609492833,0.2834297464444087,0.2301777165582162,0.2198310005300828,0.216667512517709,E11,trailing,plains,pr,0.14252598591303767,3.828479923384215e-05,-1.7944665339410357,-10.17041934187084,-3.896261122392591,-0.3194378595308649,-4.215698981923455,0.22652890903700204,3.9317461613565357
0.7979670166969299,0.8519125699996949,0.9032049628404472,0.944110980400672,0.9762090813112622,0.9617067804703348,0.9700095295906068,0.9810447328873264,0.9216392281401248,0.9252778369646808,0.8737235660771376,0.7735535743582342,0.6960063245415993,0.695576142793691,0.6951459610457826,0.6947157792978744,0.6942855975499661,0.6938554158020578,0.6934252340541495,0.6929950523062411,0.6925648705583329,0.6921346888104246,0.6917045070625163,0.6943395064427302,0.6650604346326289,0.6647193908691407,0.7657010105940013,0.7600134125122657,0.7270435929298402,0.618949297730249,0.4891711748563327,0.4124704186732951,0.3838963554455684,0.395205903511781,0.3960419595241546,0.4366977178133451,0.4544154730916934,0.4676038524279227,0.4436075636973747,0.4572159349918365,0.4544123835288561,0.4530741911353045,0.4425490007950709,0.4298479043520414,0.4223604362744551,0.4717479841067241,0.4532822462228628,0.4257285732489366,0.3629040554279586,0.2844437700051528,0.2270080491559196,0.2117970294624795,0.2211891199533756,E11,trailing,plains,pr,0.035954809911415024,5.0463622341297116e-05,-3.288875301503624,-9.894207366041066,-3.896261122392591,-0.3194378595308649,-4.215698981923455,0.2182163714195642,3.7874697067202114
0.7924609184265137,0.8362239837646485,0.887593463750986,0.9261568729694072,0.945224251455933,0.9385481765637032,0.9535760343074798,0.9790818850502712,0.9077135615676412,0.9092364815565258,0.8597139511399597,0.7649377402458485,0.6531321991070085,0.6568855633458243,0.6606389275846402,0.6643922918234558,0.6681456560622717,0.6718990203010875,0.6756523845399032,0.6794057487787191,0.6831591130175347,0.6869124772563506,0.6906658414951664,0.6934670466643114,0.6642650556928329,0.6681688845157623,0.7821888057085185,0.7827260352098024,0.7547085042183217,0.6542203999657664,0.5192504433485179,0.4385726749897002,0.4074320495128631,0.4130451083183288,0.4134496450424194,0.4583620071411132,0.4685348031175046,0.4852935506747319,0.4645722155387583,0.4844054043292999,0.4760219844487998,0.4756222028313703,0.4602216605956736,0.4511272196586315,0.4376217897121722,0.4813163223174902,0.4722306971366588,0.4353280138510925,0.3880107125253166,0.2922814502165868,0.2409001467109638,0.2252465019016775,0.2482026753517297,E11,trailing,plains,pr,0.006908740112280987,4.982651623531146e-05,-4.9680352700560535,-9.906913433355335,-3.8962611223925903,-0.3194378595308649,-4.215698981923454,0.23885049349602766,4.145605587089659
0.7821134924888611,0.8172678172588349,0.8654511451721192,0.9123847723007202,0.925751237468865,0.927060674245541,0.9453329503536224,0.9849590445292814,0.8983124799400793,0.8950024870725781,0.8515104346602929,0.7601815662311235,0.6307946561109526,0.634739887112451,0.6386851181139495,0.6426303491154478,0.6465755801169462,0.6505208111184445,0.6544660421199429,0.6584112731214412,0.6623565041229396,0.666301735124438,0.6702469661259364,0.667802105500148,0.6441916682337986,0.650480967760086,0.7752216999347393,0.7776695462373587,0.7484377099917486,0.6452948960639135,0.504188895225525,0.4290658006301291,0.3864677319159874,0.3926700445321889,0.394305944442749,0.4373706565453455,0.44977937240637,0.470831850858835,0.4451112013596752,0.4661858320236205,0.4573763173360092,0.4602357335673034,0.4457522722390981,0.4370209372960605,0.4204407031719501,0.4685371059637803,0.4555539768475752,0.4237284499865312,0.3705178572021366,0.2643836273596837,0.2157484274784118,0.193697435596517,0.221752813229194,E11,trailing,plains,pr,0.004830578666958824,2.5449236729950035e-05,-5.327946728048376,-10.578799356821548,-3.8962611223925885,-0.3194378595308649,-4.215698981923453,0.3305758722422151,5.737635969955223
