encounter,hemisphere,terrain,geo_unit,n_pixels,mean_p_spec,mean_p_full,median_p_full,mean_dv_spec,mean_dv_full,delta_geo,delta_rad,delta_full,mean_ood_dist,mean_ood_ratio,synth_internal_ood,top1pct_mean_p_full,val_pr_auc_spectral,val_roc_auc_spectral,val_pr_auc_full,val_roc_auc_full,stage_dir,wave_min_um,wave_max_um
E6,leading,chaos,chm,111,0.00033332541876633783,2.4937130826783266e-11,1.1213838398534818e-11,-10.124639684391736,-25.348456923937274,3.149146376399397,1.3424102339754107,4.491556610374804,5.800475540618355,52.33338639574189,0.11083699886000353,9.097993543514347e-11,0.7383063563166563,0.9330557714545695,0.8432614671507852,0.9607768099182954,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,5.2
E15,leading,plains,pr,865,0.272710228877551,0.04366448226202488,1.713358859867916e-09,-5.483922506322673,-19.67932097543983,-4.022626774539788,1.4560583154976463,-2.5665684590421414,4.192029934158176,37.82157528129653,0.11083699886000353,0.9996727291100607,0.7383063563166563,0.9330557714545695,0.8432614671507852,0.9607768099182954,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,5.2
G2,trailing,chaos,chl,53,3.102539841075569e-05,1.4982148002007884e-13,1.5120758354556855e-14,-14.641683747220844,-31.49433332311456,2.5258824022542328,-0.6348471925829458,1.8910352096712941,5.6555902378573055,51.026193825173834,0.11083699886000353,2.714844271602033e-12,0.7383063563166563,0.9330557714545695,0.8432614671507852,0.9607768099182954,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,5.2
E11,trailing,plains,pr,3431,0.026112637520031873,3.420457146234522e-11,1.717518053863909e-14,-8.12743394267412,-31.885155809638476,-4.022626774539791,-0.5347546421939988,-4.55738141673379,5.371333777350766,48.46155872258553,0.11083699886000353,3.2657694986791843e-09,0.7383063563166563,0.9330557714545695,0.8432614671507852,0.9607768099182954,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,5.2
